listingId,title,address,streetAddress,rent,beds,baths,sqft,propertyType,phone,url,placardType,has3DTour,company,latitude,longitude,geoSource,timestamp
"5hb2j1q","Aspen Green at Simsbury","20 Hopmeadow St, Village of Weatogue, CT 06089","20 Hopmeadow St","$2,475 - $4,500","3","","","","(860) 784-7934","https://www.apartments.com/aspen-green-at-simsbury-village-of-weatogue-ct/5hb2j1q/","diamond","Yes","Garden Communities","41.8228543","-72.8275773","google-places","2025-07-02T06:27:40.749Z"
"1bl22r6","Avon Woods Apartments","64 Avonwood Rd, Avon, CT 06001","64 Avonwood Rd","$1,645 - $2,390","2","","","","(860) 846-3257","https://www.apartments.com/avon-woods-apartments-avon-ct/1bl22r6/","diamond","Yes","","41.80098","-72.8242978","google-places","2025-07-02T06:27:40.802Z"
"jejxft7","King's Ridge (small quiet community)","144 Hopmeadow St, Weatogue, CT 06089","144 Hopmeadow St","$1,950 - $2,550","2","","","","(860) 421-9834","https://www.apartments.com/kings-ridge-small-quiet-community-weatogue-ct/jejxft7/","gold","Yes","","41.8319027","-72.8177831","google-places","2025-07-02T06:27:40.833Z"
"18lmv05","The Flats at Talcott","51 Hopmeadow St, Weatogue, CT 06089","51 Hopmeadow St","$1,760 - $1,805","1","","","","(959) 200-8673","https://www.apartments.com/the-flats-at-talcott-weatogue-ct/18lmv05/","gold","Yes","Red Tail Residential","41.8271392","-72.8277449","google-places","2025-07-02T06:27:40.862Z"
"7w05g8y","Canal Place","1 Old Canal Way, Weatogue, CT 06089","1 Old Canal Way","$2,065","3","","","","(860) 847-7465","https://www.apartments.com/canal-place-weatogue-ct/7w05g8y/","gold","Yes","Red Tail Residential","41.8345121","-72.81914379999999","google-places","2025-07-02T06:27:40.891Z"
"rl0h433","Avon Colonial Manor","156 W Main St, Avon, CT 06001","156 W Main St","$1,585 - $1,795","2","","","","(959) 251-1059","https://www.apartments.com/avon-colonial-manor-avon-ct/rl0h433/","silver","No","","41.506841","-112.015958","google-places","2025-07-02T06:27:40.932Z"
"jyv3hp4","6 Riverview, Avon, CT 06001","","6 Riverview","$3,100","2","2.5","2058","Townhome for Rent","(952) 210-3686","https://www.apartments.com/6-riverview-avon-ct/jyv3hp4/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:40.962Z"
"7db0pyy","115 W Avon Rd, Unionville, CT 06085","","115 W Avon Rd","$4,000","4","3","2342","House for Rent","(860) 530-6951","https://www.apartments.com/115-w-avon-rd-unionville-ct/7db0pyy/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:40.987Z"
"88k0w01","1744 Farmington Ave Unit 2, Unionville, CT 06085","","1744 Farmington Ave Unit 2","$1,600","1","1","650","Apartment for Rent","(860) 785-6445","https://www.apartments.com/1744-farmington-ave-unionville-ct/88k0w01/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.017Z"
"6nhebpr","84 New Rd, Avon, CT 06001","","84 New Rd","$2,950","4","2.5","1922","House for Rent","(860) 888-2732","https://www.apartments.com/84-new-rd-avon-ct/6nhebpr/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.041Z"
"1bl22r6","","","","","","","","","","","reinforcement","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.067Z"
"61l2ens","55 Bishop Ln, Avon, CT 06001","","55 Bishop Ln","$25,000","6","6","12157","House for Rent","(860) 874-6646","https://www.apartments.com/55-bishop-ln-avon-ct/61l2ens/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.092Z"
"rmhbnc0","31 Rivermead, Avon, CT 06001","","31 Rivermead","$3,150","3","3.5","1872","Condo for Rent","(860) 919-1631","https://www.apartments.com/31-rivermead-avon-ct/rmhbnc0/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.117Z"
"fqtqjzs","41 Mallard Dr Unit 41, Avon, CT 06001","","41 Mallard Dr Unit 41","$2,700","2","2","1258","Condo for Rent","(860) 573-0277","https://www.apartments.com/41-mallard-dr-avon-ct-unit-41/fqtqjzs/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.147Z"
"wxt6c2l","41 Crocus Ln Unit 41, Avon, CT 06001","","41 Crocus Ln Unit 41","$2,800","2","2","1350","Condo for Rent","(860) 402-6924","https://www.apartments.com/41-crocus-ln-avon-ct-unit-41/wxt6c2l/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.172Z"
"r7clh31","10 Riverview Unit 10, Avon, CT 06001","","10 Riverview Unit 10","$3,000","2","2.5","2028","Condo for Rent","(860) 986-9297","https://www.apartments.com/10-riverview-avon-ct-unit-10/r7clh31/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.197Z"
"bp29lkc","16 Applewood Ln Unit 16, Avon, CT 06001","","16 Applewood Ln Unit 16","$3,500","3","2.5","1910","Condo for Rent","(860) 944-3773","https://www.apartments.com/16-applewood-ln-avon-ct-unit-16/bp29lkc/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.226Z"
"qfweh0w","35 High St, Canton, CT 06019","","35 High St","$2,800","4","1","1540","House for Rent","(860) 416-0388","https://www.apartments.com/35-high-st-canton-ct/qfweh0w/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.262Z"
"4fpt87k","115 W Avon Rd, Farmington, CT 06085","","115 W Avon Rd","$4,000","4","3","2642","House for Rent","(203) 228-3738","https://www.apartments.com/115-w-avon-rd-farmington-ct/4fpt87k/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.292Z"
"gwshp6y","1657 Farmington Ave, Farmington, CT 06085","","1657 Farmington Ave","$3,000","4","2.5","1608","House for Rent","(860) 913-9411","https://www.apartments.com/1657-farmington-ave-farmington-ct/gwshp6y/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.321Z"
"x9j6rwp","54 Bridge St Unit #54 2nd floor west, Collinsville, CT 06019","","54 Bridge St Unit #54 2nd floor west","$1,600","1","1","700","Apartment for Rent","(860) 560-1605","https://www.apartments.com/54-bridge-st-collinsville-ct/x9j6rwp/","prosumer","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.345Z"
"rpgjzr2","","","6 Riverview Unit 6","$3,100","2","2.25","2058","Condo for Rent","","https://www.apartments.com/6-riverview-avon-ct-unit-6/rpgjzr2/","basic","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.373Z"
"qrjns7w","","","3 Laurel Ln","$3,400","3","2","","House for Rent","","https://www.apartments.com/3-laurel-ln-avon-ct/qrjns7w/","basic","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.397Z"
"d41jjpk","","","604 Huckleberry Hill Rd","$2,195","2","1","819","House for Rent","","https://www.apartments.com/604-huckleberry-hill-rd-avon-ct/d41jjpk/","basic","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.425Z"
"3thf3xf","","","9 Riverview Unit 9","$3,200","2","3","1980","Condo for Rent","","https://www.apartments.com/9-riverview-avon-ct-unit-9/3thf3xf/","basic","No","","41.7579","-72.79674","script-coordinates","2025-07-02T06:27:41.452Z"
